OWNER_ID,AGE_GROUP,GENDER,DISTRICT,PRIMARY_BREED,SECONDARY_BREED,DOG_YEAR_OF_BIRTH,DOG_GENDER,DOG_COLOUR,DATASET_YEAR,UPDATE_TIME,BREED_TYPE
18805,41-50,w,6.0,Jack Russel Terrier,,2008,m,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
19004,51-60,m,5.0,Malteser,,2014,m,white,2015,2023-10-12 10:43:28,Kleinwüchsig
19141,61-70,m,4.0,Bolonka Zwetna,,2012,m,black,2015,2023-10-12 10:43:28,Kleinwüchsig
19652,51-60,w,2.0,Mischling klein,,2007,w,brown,2015,2023-10-12 10:43:28,Kleinwüchsig
19839,51-60,m,2.0,Labrador Retriever,,2009,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
20016,81-90,m,6.0,Kleinspitz,,2011,m,black/brown/white,2015,2023-10-12 10:43:28,Kleinwüchsig
20205,81-90,m,7.0,Toypudel,,2001,w,black,2015,2023-10-12 10:43:28,Kleinwüchsig
20483,61-70,m,12.0,Terrier,,2002,m,black/tan,2015,2023-10-12 10:43:28,
20510,41-50,m,9.0,Berger blanc Suisse,,2006,m,white,2015,2023-10-12 10:43:28,Rassentypenliste I
20580,41-50,m,4.0,Chihuahua,,2011,m,hellbraun,2015,2023-10-12 10:43:28,Kleinwüchsig
20762,51-60,m,4.0,Zwergpudel,,2012,m,apricot,2015,2023-10-12 10:43:28,Kleinwüchsig
21270,41-50,m,8.0,Grosspudel,,2012,m,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
21393,51-60,m,2.0,Französische Bulldogge,,2012,m,blue,2015,2023-10-12 10:43:28,Kleinwüchsig
21828,71-80,w,7.0,Spitz,,2013,m,white/beige,2015,2023-10-12 10:43:28,Kleinwüchsig
21865,61-70,m,6.0,Foxterrier,,2005,m,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
22186,41-50,m,8.0,Labrador Retriever,Border Collie,2009,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
22378,51-60,m,7.0,Kooiker,,2010,w,white/orange,2015,2023-10-12 10:43:28,Kleinwüchsig
22479,51-60,m,7.0,Mischling klein,,2001,w,grau gestromt,2015,2023-10-12 10:43:28,Kleinwüchsig
22950,51-60,w,11.0,Mittelpudel,,2013,w,black,2015,2023-10-12 10:43:28,Kleinwüchsig
22956,41-50,m,10.0,Cocker Spaniel,,2014,m,orange Schimmel,2015,2023-10-12 10:43:28,Kleinwüchsig
23054,61-70,w,10.0,Cairn Terrier,,2011,m,rot/beige,2015,2023-10-12 10:43:28,Kleinwüchsig
23408,31-40,m,12.0,Yorkshire Terrier,,2011,w,black/tan,2015,2023-10-12 10:43:28,Kleinwüchsig
23493,61-70,m,11.0,Boxer,,2013,m,brown/white,2015,2023-10-12 10:43:28,Rassentypenliste I
23887,81-90,m,2.0,Zwergdackel,,2014,w,brown,2015,2023-10-12 10:43:28,Kleinwüchsig
23887,81-90,m,2.0,Zwergrauhaardackel,,2001,m,saufarben,2015,2023-10-12 10:43:28,Kleinwüchsig
23889,61-70,w,4.0,Pudel,,2012,m,brown,2015,2023-10-12 10:43:28,
24014,51-60,w,12.0,Yorkshire Terrier,,2007,w,blue/tan,2015,2023-10-12 10:43:28,Kleinwüchsig
24242,41-50,w,11.0,Belgischer Schäfer,,2003,m,brown/black,2015,2023-10-12 10:43:28,Rassentypenliste I
24246,51-60,m,10.0,Bergamasker,,2001,m,black/brown,2015,2023-10-12 10:43:28,Rassentypenliste I
40684,71-80,m,7.0,Labrador Retriever,,2004,m,blondfarben,2015,2023-10-12 10:43:28,Rassentypenliste I
44439,71-80,m,7.0,Border Collie,,1999,m,black/white,2015,2023-10-12 10:43:28,Rassentypenliste I
54322,71-80,m,3.0,Lagotto Romagnolo,,2009,m,white/orange,2015,2023-10-12 10:43:28,Rassentypenliste I
54926,81-90,m,2.0,Jack Russel Terrier,,2002,m,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
55176,71-80,m,3.0,Dobermann,,2003,w,black/brown,2015,2023-10-12 10:43:28,Rassentypenliste I
55835,61-70,w,8.0,Deutscher Schäfer,,2004,w,black/grau,2015,2023-10-12 10:43:28,Rassentypenliste I
56084,51-60,w,7.0,Berner Sennenhund,,2007,w,dreifarbig,2015,2023-10-12 10:43:28,Rassentypenliste I
60244,51-60,m,12.0,Chow Chow,,2002,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
60397,51-60,m,7.0,Deutscher Schäfer,,2005,w,grau/black,2015,2023-10-12 10:43:28,Rassentypenliste I
60402,61-70,w,11.0,Mischling klein,,2013,m,dunkelbraun,2015,2023-10-12 10:43:28,Kleinwüchsig
60402,61-70,w,11.0,Border Terrier,,2004,m,rot/grau/black,2015,2023-10-12 10:43:28,Kleinwüchsig
61323,71-80,m,8.0,Mudi,,2010,m,blondfarben,2015,2023-10-12 10:43:28,Rassentypenliste I
62389,71-80,m,8.0,Boxer,,2014,w,gestromt,2015,2023-10-12 10:43:28,Rassentypenliste I
62621,71-80,m,11.0,Papillon,,2004,w,black/white,2015,2023-10-12 10:43:28,Kleinwüchsig
62628,61-70,m,7.0,Yorkshire Terrier,,2007,w,graubraun,2015,2023-10-12 10:43:28,Kleinwüchsig
63468,71-80,m,7.0,Mischling klein,,2003,m,brown/white,2015,2023-10-12 10:43:28,Kleinwüchsig
63704,71-80,m,10.0,Dachshund,,2012,w,saufarben,2015,2023-10-12 10:43:28,Kleinwüchsig
64202,71-80,w,6.0,Cairn Terrier,,2002,w,beige/brown/black,2015,2023-10-12 10:43:28,Kleinwüchsig
64444,61-70,m,7.0,Mischling klein,,2007,w,rot/white,2015,2023-10-12 10:43:28,Kleinwüchsig
64689,51-60,m,10.0,Tibet Terrier,,1999,w,white,2015,2023-10-12 10:43:28,Kleinwüchsig
64718,51-60,m,11.0,Mischling klein,,2004,w,white/brown,2015,2023-10-12 10:43:28,Kleinwüchsig
64727,51-60,m,8.0,Border Collie,,2003,m,black/white,2015,2023-10-12 10:43:28,Rassentypenliste I
65665,61-70,w,8.0,Mops,,2002,m,beige,2015,2023-10-12 10:43:28,Kleinwüchsig
65665,61-70,w,8.0,Mops,,2002,m,black,2015,2023-10-12 10:43:28,Kleinwüchsig
65681,41-50,m,2.0,Italienisches Windspiel,,2011,m,blau,2015,2023-10-12 10:43:28,Kleinwüchsig
65713,61-70,w,2.0,Lagotto Romagnolo,,2005,w,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
65732,51-60,m,7.0,Holländischer Schäfer,,2009,m,gestromt,2015,2023-10-12 10:43:28,Rassentypenliste I
65758,51-60,w,7.0,Yorkshire Terrier,,2007,m,black/tan,2015,2023-10-12 10:43:28,Kleinwüchsig
65758,51-60,w,7.0,Welsh Springer Spaniel,,2002,w,rot/white,2015,2023-10-12 10:43:28,Rassentypenliste I
65848,71-80,m,12.0,Pinscher,,2002,w,black/brown,2015,2023-10-12 10:43:28,Kleinwüchsig
65940,41-50,w,8.0,Berner Sennenhund,,2010,w,tricolor,2015,2023-10-12 10:43:28,Rassentypenliste I
65975,61-70,w,7.0,Labrador Retriever,,2006,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
65975,61-70,w,7.0,Labrador Retriever,,2002,w,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
65981,51-60,w,6.0,Labrador Retriever,,2013,m,gelb,2015,2023-10-12 10:43:28,Rassentypenliste I
66144,51-60,m,5.0,Deutsche Dogge,,2013,w,gelb,2015,2023-10-12 10:43:28,Rassentypenliste I
66144,51-60,m,5.0,Labrador Retriever,,2006,m,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
66151,51-60,m,11.0,Deutscher Schäfer,,2008,w,black/brown/white,2015,2023-10-12 10:43:28,Rassentypenliste I
66266,61-70,m,9.0,Mischling klein,,2006,w,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
66298,41-50,m,6.0,Magyar Viszla,,2010,m,gelb,2015,2023-10-12 10:43:28,Rassentypenliste I
66515,61-70,m,8.0,Labrador Retriever,,2007,w,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
66515,61-70,m,8.0,Labrador Retriever,,2011,w,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
66524,51-60,w,12.0,Mops,Chihuahua,2013,m,blue/merle,2015,2023-10-12 10:43:28,Kleinwüchsig
66524,51-60,w,12.0,Border Collie,,2007,w,white/black,2015,2023-10-12 10:43:28,Rassentypenliste I
66702,51-60,w,6.0,Zwergpudel,,2008,w,apricot,2015,2023-10-12 10:43:28,Kleinwüchsig
66757,51-60,w,1.0,Mischling gross,,2012,m,brown/beige,2015,2023-10-12 10:43:28,Rassentypenliste I
66898,41-50,m,7.0,Coton de Tulear,,2010,m,white,2015,2023-10-12 10:43:28,Kleinwüchsig
66913,51-60,m,8.0,Hovawart,,2012,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
66913,51-60,m,8.0,Hovawart,,2004,w,blondfarben,2015,2023-10-12 10:43:28,Rassentypenliste I
67001,51-60,w,3.0,Mops,,2013,m,beige,2015,2023-10-12 10:43:28,Kleinwüchsig
67018,71-80,w,6.0,Labrador Retriever,,2012,m,beige,2015,2023-10-12 10:43:28,Rassentypenliste I
67054,51-60,m,9.0,Beagle,,2003,w,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
67125,51-60,m,7.0,Golden Retriever,,2001,m,golden,2015,2023-10-12 10:43:28,Rassentypenliste I
67135,31-40,m,6.0,Jack Russel Terrier,,2010,w,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
67180,51-60,w,1.0,English Cocker Spaniel,,2004,w,blauschimmel,2015,2023-10-12 10:43:28,Kleinwüchsig
67220,61-70,m,6.0,Mischling klein,,2010,m,brown,2015,2023-10-12 10:43:28,Kleinwüchsig
67308,41-50,w,11.0,Shih Tzu,,2012,w,brown/white,2015,2023-10-12 10:43:28,Kleinwüchsig
70076,31-40,m,9.0,Labrador Retriever,,2009,m,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
70176,41-50,w,4.0,Mischling gross,,2012,w,white,2015,2023-10-12 10:43:28,Rassentypenliste I
70287,51-60,m,2.0,Hirtenhund,,2006,m,white/grau,2015,2023-10-12 10:43:28,Rassentypenliste I
70296,41-50,w,7.0,Pinscher,,2009,m,hellbraun,2015,2023-10-12 10:43:28,Kleinwüchsig
70296,41-50,w,7.0,Mischling klein,,2010,w,white/beige,2015,2023-10-12 10:43:28,Kleinwüchsig
70577,51-60,w,3.0,Mischling klein,,2003,w,black,2015,2023-10-12 10:43:28,Kleinwüchsig
70788,21-30,m,7.0,Mops,Beagle,2014,w,brown,2015,2023-10-12 10:43:28,Kleinwüchsig
70793,71-80,m,11.0,Soft Coated Wheaten Terrier,,2012,m,beige,2015,2023-10-12 10:43:28,Rassentypenliste I
71024,61-70,w,7.0,Lagotto Romagnolo,,2012,w,bianco-aranico,2015,2023-10-12 10:43:28,Rassentypenliste I
71119,51-60,w,9.0,Zwergpinscher,,2003,w,black/tan,2015,2023-10-12 10:43:28,Kleinwüchsig
71119,51-60,w,9.0,Prager Rattler,Chihuahua,2010,w,black/tan,2015,2023-10-12 10:43:28,Kleinwüchsig
71119,51-60,w,9.0,Chihuahua,Prager Rattler,2010,m,black/tan,2015,2023-10-12 10:43:28,Kleinwüchsig
71142,51-60,w,7.0,Canaan Dog,,2008,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
71344,51-60,w,6.0,Labrador Retriever,,2002,w,gelb,2015,2023-10-12 10:43:28,Rassentypenliste I
71475,31-40,m,3.0,Lagotto Romagnolo,,2015,m,white/brown,2015,2023-10-12 10:43:28,Rassentypenliste I
71542,41-50,m,9.0,Golden Retriever,,2003,w,blondfarben,2015,2023-10-12 10:43:28,Rassentypenliste I
71555,61-70,m,7.0,Mischling klein,,2009,m,schwarz schimmel,2015,2023-10-12 10:43:28,Kleinwüchsig
71670,51-60,m,7.0,Deutscher Schäfer,,2012,w,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
71757,41-50,m,4.0,Bouvier,,2012,m,gestromt,2015,2023-10-12 10:43:28,Rassentypenliste I
71761,41-50,m,9.0,Jack Russel Terrier,,2010,m,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
71893,41-50,w,6.0,Border Collie,,2012,w,tricolor,2015,2023-10-12 10:43:28,Rassentypenliste I
71915,71-80,w,1.0,Mischling klein,,2002,m,grau,2015,2023-10-12 10:43:28,Kleinwüchsig
72136,51-60,m,7.0,Labrador Retriever,,2007,m,choco,2015,2023-10-12 10:43:28,Rassentypenliste I
72355,61-70,m,1.0,Foxterrier,,2005,m,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
72580,41-50,m,10.0,Prager Rattler,,2013,m,brown,2015,2023-10-12 10:43:28,Kleinwüchsig
72580,41-50,m,10.0,Prager Rattler,,2013,m,hellbraun,2015,2023-10-12 10:43:28,Kleinwüchsig
80006,61-70,m,3.0,Appenzeller Sennenhund,,2005,m,black/white/brown,2015,2023-10-12 10:43:28,Rassentypenliste I
80007,71-80,m,11.0,Labrador Retriever,,2006,m,blondfarben,2015,2023-10-12 10:43:28,Rassentypenliste I
80011,41-50,w,12.0,Malteser,,2004,m,white,2015,2023-10-12 10:43:28,Kleinwüchsig
80011,41-50,w,12.0,Papillon,,2001,w,black,2015,2023-10-12 10:43:28,Kleinwüchsig
80011,41-50,w,12.0,Jura Laufhund,,2003,m,black/brown/white,2015,2023-10-12 10:43:28,Rassentypenliste I
80011,41-50,w,12.0,Yorkshire Terrier,,2009,m,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
80017,61-70,m,6.0,Labrador Retriever,,2006,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80017,61-70,m,6.0,Spanischer Wasserhund,,2004,w,brown/white,2015,2023-10-12 10:43:28,Rassentypenliste I
80021,41-50,w,11.0,Labrador Retriever,,2011,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80023,61-70,m,11.0,Border Collie,,2001,m,black/white,2015,2023-10-12 10:43:28,Rassentypenliste I
80023,61-70,m,11.0,Border Collie,,2010,m,tricolor,2015,2023-10-12 10:43:28,Rassentypenliste I
80028,41-50,w,10.0,Border Collie,Deutscher Schäfer,2015,w,tricolor,2015,2023-10-12 10:43:28,Rassentypenliste I
80056,81-90,m,7.0,Labrador Retriever,,2006,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80059,71-80,w,12.0,Französische Bulldogge,,2007,w,white,2015,2023-10-12 10:43:28,Kleinwüchsig
80068,51-60,m,9.0,Bayerischer Gebirgsschweisshund,,2011,m,hirschrot mit Maske,2015,2023-10-12 10:43:28,Rassentypenliste I
